time,lane_id,density,entering_rate,exit_rate,vehicle_count,congested
0.0,15_0,0.0276136300878113,1,0,1,0
1.0,-1988_0,0.0239865675221875,1,0,1,0
1.0,15_0,0.0276136300878113,1,0,1,0
2.0,-1988_0,0.0239865675221875,1,0,1,0
2.0,15_0,0.0276136300878113,1,0,1,0
2.0,1934_0,0.0575904169546187,1,0,1,0
3.0,-1988_0,0.0239865675221875,1,0,1,0
3.0,15_0,0.0276136300878113,1,0,1,0
3.0,1934_0,0.0575904169546187,1,0,1,0
3.0,340_0,0.0558035714285714,1,0,1,0
4.0,-1988_0,0.0239865675221875,1,0,1,0
4.0,-37_0,0.0616750955963981,1,0,1,0
4.0,15_0,0.0276136300878113,1,0,1,0
4.0,1934_0,0.0575904169546187,1,0,1,0
4.0,340_0,0.0558035714285714,1,0,1,0
5.0,-1925_0,0.0241277807267287,1,0,1,0
5.0,-1988_0,0.0239865675221875,1,0,1,0
5.0,-37_0,0.0616750955963981,1,0,1,0
5.0,15_0,0.0276136300878113,1,0,1,0
5.0,1934_0,0.0575904169546187,1,0,1,0
5.0,340_0,0.0558035714285714,1,0,1,0
6.0,-11_0,0.058411214953271,1,0,1,0
6.0,-1925_0,0.0241277807267287,1,0,1,0
6.0,-1988_0,0.0239865675221875,1,0,1,0
6.0,-37_0,0.0616750955963981,1,0,1,0
6.0,15_0,0.0276136300878113,1,0,1,0
6.0,1934_0,0.0575904169546187,1,0,1,0
6.0,340_0,0.0558035714285714,1,0,1,0
7.0,-11_0,0.058411214953271,1,0,1,0
7.0,-1925_0,0.0241277807267287,1,0,1,0
7.0,-1988_0,0.0239865675221875,1,0,1,0
7.0,-37_0,0.0616750955963981,1,0,1,0
7.0,1597_0,0.058411214953271,1,0,1,0
7.0,15_0,0.0276136300878113,1,0,1,0
7.0,1934_0,0.0575904169546187,1,0,1,0
7.0,340_0,0.0558035714285714,1,0,1,0
8.0,-11_0,0.058411214953271,1,0,1,0
8.0,-1925_0,0.0241277807267287,1,0,1,0
8.0,-1934_0,0.0575904169546187,1,0,1,0
8.0,-1988_0,0.0239865675221875,1,0,1,0
8.0,-37_0,0.0616750955963981,1,0,1,0
8.0,1597_0,0.058411214953271,1,0,1,0
8.0,15_0,0.0276136300878113,1,0,1,0
8.0,1934_0,0.0575904169546187,1,0,1,0
8.0,340_0,0.0558035714285714,1,0,1,0
9.0,-11_0,0.058411214953271,1,0,1,0
9.0,-1925_0,0.0241277807267287,1,0,1,0
9.0,-1934_0,0.0575904169546187,1,0,1,0
9.0,-1988_0,0.0239865675221875,1,0,1,0
9.0,-37_0,0.0616750955963981,1,0,1,0
9.0,1597_0,0.058411214953271,1,0,1,0
9.0,15_0,0.0276136300878113,1,0,1,0
9.0,1934_0,0.0575904169546187,1,0,1,0
9.0,2126_0,0.0587751263665216,1,0,1,0
9.0,340_0,0.0558035714285714,1,0,1,0
10.0,-11_0,0.058411214953271,1,0,1,0
10.0,-1925_0,0.0241277807267287,1,0,1,0
10.0,-1934_0,0.0575904169546187,1,0,1,0
10.0,-1988_0,0.0239865675221875,1,0,1,0
10.0,-37_0,0.0616750955963981,1,0,1,0
10.0,1597_0,0.058411214953271,1,0,1,0
10.0,15_0,0.0276136300878113,1,0,1,0
10.0,1934_0,0.0575904169546187,1,0,1,0
10.0,206_0,0.0269396551724137,1,0,1,0
10.0,2126_0,0.0587751263665216,1,0,1,0
10.0,340_0,0.0558035714285714,1,0,1,0
11.0,-11_0,0.058411214953271,1,0,1,0
11.0,-1925_0,0.0241277807267287,1,0,1,0
11.0,-1934_0,0.0575904169546187,1,0,1,0
11.0,-1988_0,0.0239865675221875,1,0,1,0
11.0,-2192_0,0.0543242068665797,1,0,1,0
11.0,-37_0,0.0616750955963981,1,0,1,0
11.0,1597_0,0.058411214953271,1,0,1,0
11.0,15_0,0.0276136300878113,1,0,1,0
11.0,1934_0,0.0284495104458034,1,1,0,0
11.0,206_0,0.0269396551724137,1,0,1,0
11.0,2126_0,0.0587751263665216,1,0,1,0
11.0,340_0,0.0558035714285714,1,0,1,0
12.0,-11_0,0.058411214953271,1,0,1,0
12.0,-1925_0,0.0241277807267287,1,0,1,0
12.0,-1934_0,0.0575904169546187,1,0,1,0
12.0,-1988_0,0.0239865675221875,1,0,1,0
12.0,-2192_0,0.0543242068665797,1,0,1,0
12.0,-37_0,0.0616750955963981,1,0,1,0
12.0,1597_0,0.058411214953271,1,0,1,0
12.0,15_0,0.0276136300878113,1,0,1,0
12.0,1934_0,0.0,1,1,0,0
12.0,1974_0,0.0255502052469132,1,0,1,0
12.0,206_0,0.0269396551724137,1,0,1,0
12.0,2126_0,0.0587751263665216,1,0,1,0
12.0,340_0,0.0558035714285714,1,0,1,0
12.0,71_0,0.042383656861914,1,0,1,0
13.0,-11_0,0.058411214953271,1,0,1,0
13.0,-131_0,0.0283205890682526,1,0,1,0
13.0,-1925_0,0.0241277807267287,1,0,1,0
13.0,-1934_0,0.0575904169546187,1,0,1,0
13.0,-1988_0,0.0239865675221875,1,0,1,0
